keyword,match_type,ad_group,status,cost_prev,cost_cur,clicks_prev,clicks_cur,conv_prev,conv_cur,action
buitengevelisolatie kosten,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie details,PHRASE,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie subsidie,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
dikte gevelisolatie,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
kosten buitengevelisolatie,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie crepi,PHRASE,Gevelisolatie - Afwerking,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevel isoleren vergunning,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie stuc,PHRASE,Gevelisolatie - Afwerking,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie platen,EXACT,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
dunne buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie systemen,PHRASE,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
kosten buitenmuur isoleren,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevel isoleren vergunning,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
nieuwe gevel plaatsen met isolatie,EXACT,Gevelisolatie - Afwerking,ENABLED,0.0,0.0,0,0,0.0,0.0,needs_data
buitenmuur isolatie aanbrengen,PHRASE,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
hoeveel kost buitengevelisolatie,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie prijs per m2,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie offerte,EXACT,Gevelisolatie - Offerte,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitenmuurisolatie langs de buitengevel,EXACT,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie offerte,EXACT,Gevelisolatie - Offerte,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
pir buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie bedrijven,PHRASE,Gevelisolatie - Offerte,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
huis isolatie buitenkant,EXACT,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
huis van buiten isoleren,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie subsidie,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevel isoleren vergunning,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
subsidie isolatie buitenmuur,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
kosten gevelisolatie,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
isolatiebedrijf rotterdam,PHRASE,Gevelisolatie - Offerte,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie kosten,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
muurisolatie buitenzijde,EXACT,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie rc waarde,PHRASE,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie kosten per m2,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie met stucwerk,PHRASE,Gevelisolatie - Afwerking,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitenisolatie huis,EXACT,Gevelisolatie - Core,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
muur aan buitenkant isoleren,EXACT,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,needs_data
gevel isoleren offerte,EXACT,Gevelisolatie - Offerte,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
pir gevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
muurisolatie buitenzijde details,PHRASE,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevel isoleren en bekleden met steenstrips,PHRASE,Gevelisolatie - Afwerking,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
minerale wol buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitenmuur isoleren aan buitenkant,PHRASE,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie specialist,EXACT,Gevelisolatie - Offerte,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
koudebrug gevel oplossen,PHRASE,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
wat kost buitengevelisolatie,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
isolatie buitenmuren,EXACT,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
polystuc buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie steenstrips,EXACT,Gevelisolatie - Afwerking,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie kosten,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
muurisolatie,EXACT,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
subsidie gevel isoleren,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie prijs per m2,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevel isoleren buitenkant,EXACT,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie sierpleister,PHRASE,Gevelisolatie - Afwerking,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
kingspan buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitenmuur isoleren prijs,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
muurisolatie buitenzijde details,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie vergunning,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
eps buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
isolatie huis buitenkant,PHRASE,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie dikte,PHRASE,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
isoleren gevel buitenzijde,EXACT,Gevelisolatie - Core,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
isolatie voorgevel,PHRASE,Gevelisolatie - Core,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
muurisolatie buitenmuur,PHRASE,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitenmuur isoleren kosten,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitenmuur isoleren prijs per m2,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
rc waarde gevelisolatie,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitenmuur isoleren offerte,PHRASE,Gevelisolatie - Offerte,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie stucwerk,EXACT,Gevelisolatie - Afwerking,ENABLED,0.0,0.0,0,0,0.0,0.0,needs_data
gevel isoleren buitenzijde,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
subsidie buitengevelisolatie,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
isolatiebedrijf rotterdam offerte,EXACT,Gevelisolatie - Offerte,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie prijs,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie subsidie,EXACT,Gevelisolatie - Subsidie & Vergunning,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie details,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie kosten,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
kosten buitengevelisolatie,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie crepi,EXACT,Gevelisolatie - Afwerking,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
dikte gevelisolatie,PHRASE,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevel van buiten isoleren,EXACT,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
isolatie huis buitenkant,EXACT,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie platen,PHRASE,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie systemen,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
dunne buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevel isoleren en stucen,PHRASE,Gevelisolatie - Afwerking,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
kosten buitenmuur isoleren,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
nieuwe gevel plaatsen met isolatie,PHRASE,Gevelisolatie - Afwerking,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitenmuur isolatie aanbrengen,EXACT,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
hoeveel kost buitengevelisolatie,EXACT,Gevelisolatie - Kosten & Prijs,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie prijs per m2,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
pir buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie offerte,PHRASE,Gevelisolatie - Offerte,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie bedrijven,EXACT,Gevelisolatie - Offerte,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
huis isolatie buitenkant,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie subsidie,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
subsidie isolatie buitenmuur,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
kosten gevelisolatie,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
isolatiebedrijf rotterdam,EXACT,Gevelisolatie - Offerte,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
isolatie buitengevel,EXACT,Gevelisolatie - Core,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie rc waarde,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
muurisolatie buitenzijde,PHRASE,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie kosten per m2,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
etics gevelisolatie,PHRASE,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
huis isoleren buitenkant,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitenisolatie huis,PHRASE,Gevelisolatie - Core,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
muur aan buitenkant isoleren,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevel isoleren offerte,PHRASE,Gevelisolatie - Offerte,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
pir gevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
minerale wol buitengevelisolatie,EXACT,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitenmuur isoleren aan buitenkant,EXACT,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
koudebrug gevel oplossen,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie specialist,PHRASE,Gevelisolatie - Offerte,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
wat kost buitengevelisolatie,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
polystuc buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie steenstrips,PHRASE,Gevelisolatie - Afwerking,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitenmuur isoleren buitenkant,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitenmuur isoleren,PHRASE,Gevelisolatie - Core,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
muurisolatie,PHRASE,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
huis aan de buitenkant isoleren,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
buitengevelisolatie met steenstrips,PHRASE,Gevelisolatie - Afwerking,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
etics gevelisolatie,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
subsidie gevel isoleren,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie prijs per m2,EXACT,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevel isoleren buitenkant,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
steenstrips buitengevel met isolatie,PHRASE,Gevelisolatie - Afwerking,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevelisolatie sierpleister,EXACT,Gevelisolatie - Afwerking,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
kingspan buitengevelisolatie,EXACT,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitenmuur isoleren prijs,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
gevelisolatie vergunning,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
eps buitengevelisolatie,PHRASE,Gevelisolatie - Materialen,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
gevelisolatie dikte,EXACT,Gevelisolatie - Technisch,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
muurisolatie buitenmuur,EXACT,Gevelisolatie - Materialen,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
isolatie voorgevel,EXACT,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,zero_impr_cleanup
isoleren gevel buitenzijde,PHRASE,Gevelisolatie - Core,ENABLED,0.0,0.0,0,0,0.0,0.0,needs_data
buitengevel isoleren vergunning,PHRASE,Gevelisolatie - Subsidie & Vergunning,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
buitenmuur isoleren kosten,PHRASE,Gevelisolatie - Kosten & Prijs,PAUSED,0.0,0.0,0,0,0.0,0.0,needs_data
